 24350.000   46  1  1  6.3299243E-03 -7.4118532E+00 -5.2722027E-01  1  1  2.4120094E+04  5.6623104E+01  0.0000000E+00  5.2831960E-01  4.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii , UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   69.0000  3.5109417E-02
   72.0000  3.4999842E-02
   75.0000  3.7981915E-02
   78.0000  4.1958135E-02
   81.0000  4.5655267E-02
   84.0000  4.7007231E-02
   87.0000  4.3284964E-02
   90.0000  3.6337394E-02
   93.0000  3.0934184E-02
   96.0000  2.8267032E-02
   99.0000  2.7758614E-02
   102.000  2.8434324E-02
   105.000  2.9442128E-02
   108.000  3.0681978E-02
   111.000  3.2403461E-02
   114.000  3.4868651E-02
   117.000  3.8079495E-02
   120.000  4.1319883E-02
   123.000  4.3060407E-02
   126.000  4.2234761E-02
   129.000  3.9785448E-02
   132.000  3.7531032E-02
   135.000  3.6132482E-02
   138.000  3.5249482E-02
   141.000  3.4867380E-02
   144.000  3.5129782E-02
   147.000  3.5902631E-02
   150.000  3.6854226E-02
   153.000  3.7710346E-02
   156.000  3.8588690E-02
   159.000  3.9810498E-02
   162.000  4.1274794E-02
   165.000  4.2676580E-02
   168.000  4.4020082E-02
   171.000  4.5330927E-02
   174.000  4.5977593E-02
   177.000  4.5326105E-02
   180.000  4.3478323E-02
   183.000  4.0978622E-02
   186.000  3.8325258E-02
   189.000  3.5924736E-02
   192.000  3.4001303E-02
   195.000  3.2590495E-02
   198.000  3.1532303E-02
   201.000  3.0576003E-02
   204.000  2.9607713E-02
   207.000  2.8730701E-02
   210.000  2.8186196E-02
   213.000  2.8153099E-02
   216.000  2.8807737E-02
   219.000  3.0273674E-02
   222.000  3.2590958E-02
   225.000  3.5814882E-02
   228.000  4.0161805E-02
